id,bubbleName,parent,from,bubbleColor,bubbleRadius,coordinateX,coordinateY,link,rangeMin,rangeMax
0,Acoustic Garden,Project,GAP+,#FFA500,1,0.2,0.4,http://yufanxie.com/project/acoustic-garden/,43,58.5
1,The Maelstrom,Project,Acoustic Garden,#00D989,0.5,0.5,0.1,https://yufanxie.com/project/the-maelstrom/,10.95,24.83
2,GAP+,Project,KD Tree,#ADA7A7,0.3,0.8,0,https://yufanxie.com/project/gap/,24.95,42.83
3,The Unknown Cities,Project,Differential Growth,#009CFF,0.3,-0.3,-0.9,https://yufanxie.com/project/the-unknown-cities/,0,10.83
4,Sonarium,Project,GAP+,#FF6C8B,0.45,0.1,0.8,https://yufanxie.com/project/sonarium/,58.7,65.33
5,Differential Growth,Computation,,#FDB750,0.2,-0.5,0,https://yufanxie.com/project/differential-growth/,118.2,130.83
6,Skeleton Physarum,Computation,,#D37506,0.2,-0.8,0.3,https://yufanxie.com/project/skeleton-physarum/,144.1,152.5
7,Self-Organizing,Computation,,#00B4FF,0.2,-0.2,0.7,https://yufanxie.com/project/self-organizing-system-of-basic-behaviours/,100.5,110.9
8,KD Tree,Computation,,#00B4FF,0.2,-0.5,0.6,https://yufanxie.com/project/kd-tree/,130.95,134.95
9,Focal Lapse,Project,,#00B4FF,0.2,-0.7,0.1,https://yufanxie.com/project/focal-lapse/,65.5,86.1
10,Minimal Surface,Computation,,#00B4FF,0.2,-0.4,0.05,https://yufanxie.com/project/minimal-surface/,10,11
11,Geomedia,Project,Reaction Diffusion,#00B4FF,0.2,-0.1,0.1,https://yufanxie.com/project/geomedia/,86.2,100.2
12,Pixel Buffer,Computation,,#00B4FF,0.2,-0.5,0.5,https://yufanxie.com/project/geomedia/,134.95,144
13,Reaction Diffusion,Computation,,#00B4FF,0.2,-0.7,0.7,https://yufanxie.com/project/geomedia/,152.65,170.5
